情報	属性	関連情報	説明
介護会員	会員ID、名前、連絡先、住所、生年月日、性別、介護度、状況分類、要望内容、契約日	個人情報、訪問介護計画、訪問介護記録、介護費用	訪問介護サービスを受ける利用者の情報を管理するため
サービススタッフ	スタッフID、名前、連絡先、スキル、資格、働き方分類、勤務可能日時、要望内容	勤務スケジュール、訪問介護記録、事業所	訪問介護を提供する職員の情報とスキルを管理するため
介護施設	施設ID、施設名、分類、住所、連絡先、管理事業所ID	事業所	介護会員とサービススタッフを分類管理するため
訪問介護計画	計画ID、介護会員ID、サービススタッフID、訪問日時、訪問内容、所要時間、事業所ID	介護会員、勤務スケジュール、訪問介護記録	効率的な訪問介護スケジュールを管理するため
訪問介護記録	記録ID、計画ID、介護会員ID、サービススタッフID、実施日時、実施内容、実施時間、特記事項	介護会員、サービススタッフ、訪問介護計画、介護費用	実施した訪問介護の内容と結果を記録するため
介護費用	費用ID、介護会員ID、記録ID、計算金額、請求金額、請求日、回収日、回収状況	介護会員、訪問介護記録、請求書、回収記録	介護サービスに対する費用の計算と請求情報を管理するため
事業所	事業所ID、事業所名、住所、連絡先、管理者ID、本部ID	サービススタッフ、介護施設、訪問介護計画	複数の小規模事業者を一元管理する管理事業所の情報を保持するため
勤務スケジュール	スケジュールID、サービススタッフID、勤務日、勤務開始時刻、勤務終了時刻、勤務場所	サービススタッフ、訪問介護計画	サービススタッフの柔軟な働き方と介護会員の要望を調整した予定を管理するため
個人情報	個人情報ID、介護会員ID、緊急連絡先、家族情報、既往歴、アレルギー情報、保険証番号	介護会員	介護会員の詳細な個人情報を管理するため
請求書	請求書ID、費用ID、介護会員ID、請求先、請求金額、請求日、支払期限	介護費用	介護費用の請求書情報を管理するため
回収記録	回収記録ID、費用ID、回収金額、回収日、回収方法、未回収金額	介護費用	介護費用の回収状況を詳細に管理するため
法規情報	法規ID、法規名、適用条件、制約内容、更新日	訪問介護計画	介護業務に関わる法規制を管理し計画作成時に参照するため
スキル	スキルID、スキル名、スキルレベル、資格名、取得日	サービススタッフ	サービススタッフの持つスキルと資格を詳細に管理するため
働き方分類	分類ID、分類名、勤務形態、勤務時間帯、休日パターン	サービススタッフ	サービススタッフの多様な働き方を分類し管理するため
