コンテキスト	状態モデル	状態	遷移UC	遷移先状態	状態モデル・状態の説明
介護会員管理	介護会員状態		介護会員情報を受け付ける	初期登録	スケジュール計画に必要な介護会員情報を提供する
介護会員管理	介護会員状態	初期登録	介護会員情報を登録する	情報確認	受け付けた介護会員情報をシステムに登録する
介護会員管理	介護会員状態	情報確認	サービス利用を開始する	サービス利用中	介護会員がサービス利用を開始する
介護会員管理	介護会員状態	サービス利用中	サービス利用を休止する	サービス休止	介護会員がサービスを休止する
介護会員管理	介護会員状態	サービス休止	サービス利用を再開する	サービス利用中	介護会員がサービスを再開する
介護会員管理	介護会員状態	サービス利用中	サービス終了を処理する	サービス終了	介護会員のサービス利用を終了する
介護会員管理	介護会員状態	サービス終了			最終状態：サービス利用終了後の状態
スタッフ管理	スタッフスキル状態		スタッフスキル情報を入力する	申告	自身のスキル情報をシステムに入力する
スタッフ管理	スタッフスキル状態	申告	スタッフスキル情報を確認する	確認	スタッフが入力したスキル情報を確認する
スタッフ管理	スタッフスキル状態	確認	スタッフスキル情報を認定する	認定	確認済みのスキル情報を認定する
スタッフ管理	スタッフスキル状態	認定			最終状態：スキル認定完了後の状態
スタッフ管理	スタッフ働き方状態		スタッフ働き方希望を設定する	登録	柔軟な働き方希望を設定する
スタッフ管理	スタッフ働き方状態	登録	スタッフ働き方を審査する	審査	設定された働き方希望を審査する
スタッフ管理	スタッフ働き方状態	審査	スタッフ働き方を承認する	承認	審査済みの働き方を承認する
スタッフ管理	スタッフ働き方状態	承認	スタッフ働き方を実行する	実行	承認された働き方を実運用に移す
スタッフ管理	スタッフ働き方状態	実行			最終状態：働き方実行中の状態
スケジュール管理	スケジュール状態		スケジュールを計画する	計画	介護会員の要望とスタッフのスキル・働き方を考慮してスケジュール計画を作成する
スケジュール管理	スケジュール状態	計画	スケジュールを確定する	確定	計画されたスケジュールを確定する
スケジュール管理	スケジュール状態	確定			最終状態：スケジュール確定完了後の状態
訪問介護実施	訪問介護実施状態		計画	スケジュール状態の確定を受けて訪問実施フローが開始される	
訪問介護実施	訪問介護実施状態	計画	スタッフを確定する	スタッフ確定	計画されたスケジュールに基づいて提供するスタッフを確定する
訪問介護実施	訪問介護実施状態	スタッフ確定	スタッフが移動する	移動中	スタッフが訪問先に向けて移動する
訪問介護実施	訪問介護実施状態	移動中	訪問介護サービスを実施する	実施中	計画されたスケジュール通りに訪問介護サービスを提供する
訪問介護実施	訪問介護実施状態	実施中	実施記録を作成する	完了	訪問介護の実施内容、時間、対応内容を記録する
訪問介護実施	訪問介護実施状態	完了	実施記録をシステムに登録する	記録確認	サービススタッフが作成した実施記録をシステムに登録する
訪問介護実施	訪問介護実施状態	記録確認			最終状態：実施記録確認完了後の状態
請求管理	請求状態		介護費用を計算する	計算済み	実施記録に基づいて月別の介護費用を計算する
請求管理	請求状態	計算済み	介護費用を請求する	請求中	計算された介護費用を介護会員に請求する
請求管理	請求状態	請求中	支払い状況を確認する	支払い待機	支払い回収状況を確認し、売上を集計する
請求管理	請求状態	支払い待機	支払い滞納に対応する	支払い完了	支払い滞納が発生した場合、回収活動を実施する
請求管理	請求状態	支払い完了			最終状態：支払い完了後の状態
